"","abuse","academic","adhd_cd","adjustment","anxiety","appraisal","attachment","autism","autonomy","bullying","cognitive","depression","device-use","dysregulation","eating_disorders","emotion","empathy","externalizing","family-functioning","health","internalizing","mental_health","mindfulness","minority_status","mothers","negative_emotionality","neural","obesity","parenting","parents","personality","polyvagal","ptsd","resilience","rumination","self-harm","self-regulation","sex","social skills","strategies","stress","substance","suicide","suppression","therapy","wellbeing"
"dysregulation",55,29,141,40,143,61,89,77,41,68,93,232,42,0,86,59,61,213,30,41,42,211,46,37,40,80,91,0,118,0,43,38,57,33,30,76,54,55,28,111,68,91,42,32,52,49
"eating_disorders",0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,29,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"emotion",0,0,0,0,0,0,0,0,0,0,0,25,0,59,0,0,0,0,0,0,0,27,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"empathy",0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"externalizing",26,0,56,0,26,0,0,37,0,35,0,39,0,213,0,0,0,0,0,0,89,104,0,0,0,26,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
"family-functioning",0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"health",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"internalizing",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mental_health",26,0,73,30,43,0,0,37,0,0,0,68,0,211,29,27,0,104,0,30,0,0,0,0,0,27,49,0,27,25,0,0,39,0,0,26,0,33,0,28,0,35,0,0,37,33
"mindfulness",0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"minority_status",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mothers",0,0,0,0,0,0,0,0,0,0,0,38,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_emotionality",0,0,0,0,0,0,0,0,0,0,0,28,0,80,0,0,0,26,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neural",0,0,30,0,36,0,0,0,0,0,0,56,0,91,0,34,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obesity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parenting",0,0,0,0,26,0,0,0,0,0,0,35,0,118,0,0,0,35,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"personality",0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"polyvagal",0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ptsd",33,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"resilience",0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rumination",0,0,0,0,0,0,0,0,0,0,0,37,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"self-harm",0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"self-regulation",0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sex",0,0,0,0,0,0,0,0,0,0,0,36,0,55,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"social skills",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"strategies",0,0,0,0,40,0,0,0,0,0,36,52,0,111,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
"stress",0,0,0,0,33,0,0,0,0,0,0,41,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
"substance",37,0,0,0,0,0,0,0,0,0,0,25,30,91,0,0,0,36,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"suicide",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"suppression",0,0,0,0,0,27,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"therapy",0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wellbeing",0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
