key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
14,ASSOCIATIONS BETWEEN ADHD AND EMOTIONAL PROBLEMS FROM CHILDHOOD TO YOUNG ADULTHOOD: A LONGITUDINAL GENETICALLY SENSITIVE STUDY,NA,1,1,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,,,NA,STERN A and AGNEW-BLAIS JC and DANESE A and FISHER HL and MATTHEWS T and POLANCZYK GV and WERTZ J and ARSENEAULT L,10.1111/JCPP.13217,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
15,NEURAL FEATURES OF SUSTAINED EMOTIONAL INFORMATION PROCESSING IN AUTISM SPECTRUM DISORDER,NA,1,1,AUTISM,1362-3613,,,NA,MAZEFSKY CA and COLLIER A and GOLT J and SIEGLE GJ,10.1177/1362361320903137,,SAGE PUBLICATIONS LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
16,EFFECTIVENESS OF CURRENT PSYCHOLOGICAL INTERVENTIONS TO IMPROVE EMOTION REGULATION IN YOUTH: A META-ANALYSIS,NA,1,1,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,1018-8827,,,NA,MOLTRECHT B and DEIGHTON J and PATALAY P and EDBROOKE-CHILDS J,10.1007/S00787-020-01498-4,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
17,DEVELOPMENT OF A COMPOSITE PRIMARY OUTCOME SCORE FOR CHILDREN WITH ATTENTION-DEFICIT/HYPERACTIVITY DISORDER AND EMOTIONAL DYSREGULATION,NA,1,1,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1044-5463,,,NA,JOHNSTONE JM and LEUNG BMY and SRIKANTH P and HATSU I and PEREZ L and GRACIOUS B and TOST G and AMAN MG and GADOW KD and FINDLING RL and BUKSTEIN O and ARNOLD LE,10.1089/CAP.2019.0179,,"MARY ANN LIEBERT, INC",,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
18,PATTERNS AND PREDICTION OF BEHAVIOR PROBLEMS DURING THE TODDLER AND PRESCHOOL PERIODS IN PRETERM CHILDREN,NA,1,1,INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,0165-0254,,,NA,ROSS GS and RESCORLA LA and PERLMAN JM,10.1177/0165025420906467,,SAGE PUBLICATIONS LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Excluded""}"
19,SIMILARITIES AND DIFFERENCES ACROSS BIPOLAR DISORDER SUBTYPES AMONG ADOLESCENTS,NA,1,1,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1044-5463,,,NA,GREEN E and TOMA S and COLLINS J and FIKSENBAUM L and TIMMINS V and OMRIN D and GOLDSTEIN BI,10.1089/CAP.2019.0031,,"MARY ANN LIEBERT, INC",,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
20,AUTOBIOGRAPHICAL MEMORY IMPAIRMENT IN ADOLESCENTS IN OUT-OF-HOME CARE,NA,1,1,JOURNAL OF INTERPERSONAL VIOLENCE,0886-2605,,,NA,JIMENO MV and LATORRE JM and CANTERO MJ,10.1177/0886260520907351,,SAGE PUBLICATIONS INC,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
21,POLYGENIC LIABILITY FOR SCHIZOPHRENIA AND CHILDHOOD ADVERSITY INFLUENCES DAILY-LIFE EMOTION DYSREGULATION AND PSYCHOSIS PRONENESS,NA,1,1,ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,,,NA,PRIES LK and KLINGENBERG B and MENNE-LOTHMANN C and DECOSTER J and VAN WINKEL R and COLLIP D and DELESPAUL P and DE HERT M and DEROM C and THIERY E and JACOBS N and WICHERS M and CINAR O and LIN BD and LUYKX JJ and RUTTEN BPF and VAN OS J and GULOKSUZ S,10.1111/ACPS.13158,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
22,NATURAL MENTORING RELATIONSHIPS AMONG SURVIVORS OF CAREGIVER CHILDHOOD ABUSE: FINDINGS FROM THE ADD HEALTH STUDY,NA,1,1,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,0077-8923,,,NA,KU EBW and HAGLER MA and PARNES MF and SCHWARTZ SEO and RHODES JE and ERICKSON LD,10.1111/NYAS.14313,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
23,PREVALENCE OF ELECTRONIC CIGARETTE DEPENDENCE AMONG YOUTH AND ITS ASSOCIATION WITH FUTURE USE,2020,1,1,JAMA NETWORK OPEN,2574-3805,3,2,NA,VOGEL EA and CHO JH and MCCONNELL RS and BARRINGTON-TRIMIS JL and LEVENTHAL AM,10.1001/JAMANETWORKOPEN.2019.21513,,AMER MEDICAL ASSOC,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
24,EMERGING STORIES OF SELF: LONG-TERM OUTCOMES OF WILDERNESS THERAPY IN NORWAY,NA,1,1,JOURNAL OF ADVENTURE EDUCATION AND OUTDOOR LEARNING,1472-9679,,,NA,FERNEE CR and GABRIELSEN LE and ANDERSEN AJW and MESEL T,10.1080/14729679.2020.1730205,,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
25,PARENT AND CHILD EMOTION AND DISTRESS RESPONSES ASSOCIATED WITH PARENTAL ACCOMMODATION OF CHILD ANXIETY SYMPTOMS,NA,1,1,JOURNAL OF CLINICAL PSYCHOLOGY,0021-9762,,,NA,O'CONNOR EE and HOLLY LE and CHEVALIER LL and PINCUS DB and LANGER DA,10.1002/JCLP.22941,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
26,RESPONSES TO ACADEMIC STRESS MEDIATE THE ASSOCIATION BETWEEN SLEEP DIFFICULTIES AND DEPRESSIVE/ANXIETY SYMPTOMS IN CHINESE ADOLESCENTS,2020,1,1,JOURNAL OF AFFECTIVE DISORDERS,0165-0327,263,,89,ZHANG WJ and YAN C and SHUM D and DENG CP,10.1016/J.JAD.2019.11.157,,ELSEVIER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
27,"MINDFULNESS-BASED INTERVENTIONS IN THE EARLY PHASE OF AFFECTIVE AND NON-AFFECTIVE PSYCHOSES SPECIAL SECTION ON ""TRANSLATIONAL AND NEUROSCIENCE STUDIES IN AFFECTIVE DISORDERS"" SECTION EDITOR, MARIA NOBILE MD, PHD",2020,1,1,JOURNAL OF AFFECTIVE DISORDERS,0165-0327,263,,747,PERLINI C and BELLANI M and ROSSETTI MG and ROSSIN G and ZOVETTI N and ROSSI A and BRESSI C and DEL PICCOLO L and BRAMBILLA P,10.1016/J.JAD.2019.10.011,,ELSEVIER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
28,THE ROLE OF PARENTAL CONTROL AND COPING STRATEGIES ON ADOLESCENTS' PROBLEM BEHAVIORS,NA,1,1,CURRENT PSYCHOLOGY,1046-1310,,,NA,INGUGLIA C and COSTA S and INGOGLIA S and CUZZOCREA F and LIGA F,10.1007/S12144-020-00648-W,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
29,CLINICAL CHARACTERISTICS OF BOYS WITH COMORBID AUTISM SPECTRUM DISORDER AND ATTENTION DEFICIT/HYPERACTIVITY DISORDER,NA,1,1,PEDIATRICS INTERNATIONAL,1328-8067,,,NA,YAMAWAKI K and ISHITSUKA K and SUYAMA S and SUZUMURA S and YAMASHITA H and KANBA S,10.1111/PED.14105,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
30,THE ROLE OF EMOTION REGULATION AND CORE AUTISM SYMPTOMS IN THE EXPERIENCE OF ANXIETY IN AUTISM,NA,1,1,AUTISM,1362-3613,,,NA,CONNER CM and WHITE SW and SCAHILL L and MAZEFSKY CA,10.1177/1362361320904217,,SAGE PUBLICATIONS LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
31,EMOTION REGULATION STRATEGIES PREDICT WEIGHT LOSS DURING AN INPATIENT OBESITY TREATMENT FOR ADOLESCENTS,NA,1,1,OBESITY SCIENCE & PRACTICE,2055-2238,,,NA,REINELT T and PETERMANN F and BAUER F and BAUER CP,10.1002/OSP4.410,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
32,COGNITIVE AND EMOTIONAL REGULATION IN ADOLESCENTS AND YOUNG WOMEN WITH EATING DISORDERS,NA,1,1,EATING AND WEIGHT DISORDERS-STUDIES ON ANOREXIA BULIMIA AND OBESITY,1124-4909,,,NA,MALAGOLI C and CERRO PF and VECCHIATO C and USAI MC,10.1007/S40519-020-00859-X,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
33,SUICIDE ATTEMPTS REQUIRING HOSPITALIZATION IN PATIENTS WITH EATING DISORDERS: A RETROSPECTIVE COHORT STUDY,NA,1,1,INTERNATIONAL JOURNAL OF EATING DISORDERS,0276-3478,,,NA,CLIFFE C and SHETTY H and HIMMERICH H and SCHMIDT U and STEWART R and DUTTA R,10.1002/EAT.23240,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Excluded""}"
34,TEAMWORK: TESTING EMOTIONAL ATTUNEMENT AND MUTUALITY DURING PARENT-ADOLESCENT FMRI,2020,1,1,FRONTIERS IN HUMAN NEUROSCIENCE,1662-5161,14,,NA,KERR KL and COSGROVE KT and RATLIFF EL and BURROWS K and MISAKI M and MOORE AJ and DEVILLE DC and SILK JS and TAPERT SF and BODURKA J and SIMMONS WK and MORRIS AS,10.3389/FNHUM.2020.00024,,FRONTIERS MEDIA SA,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
35,PARENT-REPORTED RATES AND CLINICAL CORRELATES OF SUICIDALITY IN CHILDREN WITH AUTISM SPECTRUM DISORDER: A LONGITUDINAL STUDY,NA,1,1,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,0162-3257,,,NA,HUNSCHE MC and SAQUI S and MIRENDA P and ZAIDMAN-ZAIT A and BENNETT T and DUKU E and ELSABBAGH M and GEORGIADES S and SMITH IM and SZATMARI P and UNGAR WJ and VAILLANCOURT T and WADDELL C and ZWAIGENBAUM L and KERNS CM,10.1007/S10803-020-04373-Y,,SPRINGER/PLENUM PUBLISHERS,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
36,MATERNAL ANTECEDENTS TO ADOLESCENT GIRLS' NEURAL REGULATION OF EMOTION,NA,1,1,JOURNAL OF RESEARCH ON ADOLESCENCE,1050-8392,,,NA,MODI HH and DAVIS MM and MIERNICKI ME and TELZER EH and RUDOLPH KD,10.1111/JORA.12545,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
37,"PAIN PERCEPTION, DISTRESS TOLERANCE AND SELF-COMPASSION IN TURKISH YOUNG ADULTS WITH AND WITHOUT A HISTORY OF NON-SUICIDAL SELF-INJURY",NA,1,1,CURRENT PSYCHOLOGY,1046-1310,,,NA,TUNA E and GENCOZ T,10.1007/S12144-020-00634-2,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
38,WHY DOES EARLY CHILDHOOD DEPRIVATION INCREASE THE RISK FOR DEPRESSION AND ANXIETY IN ADULTHOOD? A DEVELOPMENTAL CASCADE MODEL,NA,1,1,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,,,NA,GOLM D and MAUGHAN B and BARKER ED and HILL J and KENNEDY M and KNIGHTS N and KREPPNER J and KUMSTA R and SCHLOTZ W and RUTTER M and SONUGA-BARKE EJS,10.1111/JCPP.13205,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
39,A PRELIMINARY STUDY ON THE FUNCTIONAL BENEFITS OF COMPUTERIZED WORKING MEMORY TRAINING IN CHILDREN WITH PEDIATRIC BIPOLAR DISORDER AND ATTENTION DEFICIT HYPERACTIVITY DISORDER,2020,1,1,FRONTIERS IN PSYCHOLOGY,1664-1078,10,,NA,PASSAROTTI AM and BALABAN L and COLMAN LD and KATZ LA and TRIVEDI N and LIU L and LANGENECKER SA,10.3389/FPSYG.2019.03060,,FRONTIERS MEDIA SA,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
40,INFLUENCE OF COPING STRATEGIES ON THE EFFICACY OF YAM (YOUTH AWARE OF MENTAL HEALTH): A UNIVERSAL SCHOOL-BASED SUICIDE PREVENTIVE PROGRAM,NA,1,1,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,1018-8827,,,NA,KAHN JP and COHEN RF and TUBIANA A and LEGRAND K and WASSERMAN C and CARLI V and APTER A and BALAZS J and BANZER R and BARALLA F and BARZILAI S and BOBES J and BRUNNER R and CORCORAN P and COSMAN D and GUILLEMIN F and HARING C and KAESS M and BITENC UM and MESZAROS G and MCMAHON E and POSTUVAN V and SAIZ P and VARNIK A and VARNIK P and SARCHIAPONE M and HOVEN CW and WASSERMAN D,10.1007/S00787-020-01476-W,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
41,DEVELOPMENT OF AN EARLY INTERVENTION PROGRAMME FOR ADOLESCENTS WITH EMOTION DYSREGULATION AND THEIR FAMILIES: ACTIONS FOR THE TREATMENT OF ADOLESCENT PERSONALITY (ATRAPA),NA,1,1,EARLY INTERVENTION IN PSYCHIATRY,1751-7885,,,NA,MAYORAL M and VALENCIA F and CALVO A and ROLDAN L and ESPLIEGO A and RODRIGUEZ-TOSCANO E and KEHRMANN L and ARANGO C and DELGADO C,10.1111/EIP.12934,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
42,EMOTION REGULATION PROCESSES AS MEDIATORS OF THE IMPACT OF PAST LIFE EVENTS ON OLDER ADULTS' PSYCHOLOGICAL DISTRESS,2020,1,1,INTERNATIONAL PSYCHOGERIATRICS,1041-6102,32,2,199,FERNANDEZ-FERNANDEZ V and LOSADA-BALTAR A and MARQUEZ-GONZALEZ M and PANIAGUA-GRANADOS T and VARA-GARCIA C and LUQUE-RECA O,10.1017/S1041610219002084,,CAMBRIDGE UNIV PRESS,,," RAYYAN-INCLUSION: {""Caspar""=>""Excluded""}"
43,IDENTIFICATION OF BEHAVIOURAL AND EMOTIONAL PROBLEMS IN PREMATURE CHILDREN IN THE PRIMARY CARE SETTING,2020,1,1,ATENCION PRIMARIA,0212-6567,52,2,104,ALCANTARA-CANABAL L and FERNANDEZ-BAIZAN C and SOLIS-SANCHEZ G and ARIAS JL and MENDEZ M,10.1016/J.APRIM.2018.11.005,,EDICIONES DOYMA S A,,," RAYYAN-INCLUSION: {""Caspar""=>""Excluded""}"
44,PARENTING STYLES AND CHILDREN'S INTERNALIZING-EXTERNALIZING BEHAVIOR: THE MEDIATING ROLE OF BEHAVIORAL REGULATION,2020,1,1,CURRENT PSYCHOLOGY,1046-1310,39,1,13,MARCONE R and AFFUSO G and BORRONE A,10.1007/S12144-017-9757-7,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
45,IS SELF ESTEEM MEDIATING THE RELATIONSHIP BETWEEN COGNITIVE EMOTION REGULATION STRATEGIES AND DEPRESSION?,2020,1,1,CURRENT PSYCHOLOGY,1046-1310,39,1,220,YALCINKAYA-ALKAR O,10.1007/S12144-017-9755-9,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
46,INTEGRATIVE AND SUPPRESSIVE EMOTION REGULATION DIFFERENTIALLY PREDICT WELL-BEING THROUGH BASIC NEED SATISFACTION AND FRUSTRATION: A TEST OF THREE COUNTRIES,2020,1,1,MOTIVATION AND EMOTION,0146-7239,44,1,67,BENITA M and BENISH-WEISMAN M and MATOS L and TORRES C,10.1007/S11031-019-09781-X,,SPRINGER/PLENUM PUBLISHERS,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
47,A PILOT RANDOMIZED CONTROLLED TRIAL OF A MINDFULNESS PROGRAM FOR FILIPINO CHILDREN,2020,1,1,MINDFULNESS,1868-8527,11,2,303,ALAMPAY LP and TAN LJTG and TULIAO AP and BARANEK P and OFRENEO MA and LOPEZ GD and FERNANDEZ KG and ROCKMAN P and VILLASANTA A and ANGANGCO T and FREEDMAN ML and CERSWELL L and GUINTU V,10.1007/S12671-019-01124-8,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
48,"""WILL TO EXIST, LIVE AND SURVIVE"" (WTELS): MEASURING ITS ROLE AS MASTER/METAMOTIVATOR AND IN RESISTING OPPRESSION AND RELATED ADVERSITIES",2020,1,1,PEACE AND CONFLICT-JOURNAL OF PEACE PSYCHOLOGY,1078-1919,26,1,47,KIRA IA and SHUWIEKH H and KUCHARSKA J and AL-HUWAILAH AH and MOUSTAFA A,10.1037/PAC0000411,,AMER PSYCHOLOGICAL ASSOC,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
49,"GENERAL PSYCHOPATHOLOGY AND DYSREGULATION PROFILE IN A LONGITUDINAL COMMUNITY SAMPLE: STABILITY, ANTECEDENTS AND OUTCOMES",2020,1,1,CHILD PSYCHIATRY & HUMAN DEVELOPMENT,0009-398X,51,1,114,DEUTZ MHF and GEERAERTS SB and BELSKY J and DEKOVIC M and VAN BAAR AL and PRINZIE P and PATALAY P,10.1007/S10578-019-00916-2,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
50,"CHINESE COLLEGE STUDENTS' PARENTAL ATTACHMENT, PEER ATTACHMENT, AND PROSOCIAL BEHAVIORS: THE MODERATING ROLE OF RESPIRATORY SINUS ARRHYTHMIA",2020,1,1,BIOLOGICAL PSYCHOLOGY,0301-0511,150,,NA,ZHANG YW and YANG XH and LIU DN and WANG ZH,10.1016/J.BIOPSYCHO.2020.107844,,ELSEVIER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
51,PARENTING X BRAIN DEVELOPMENT INTERACTIONS AS PREDICTORS OF ADOLESCENT DEPRESSIVE SYMPTOMS AND WELL-BEING: DIFFERENTIAL SUSCEPTIBILITY OR DIATHESIS-STRESS?,2020,1,1,DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,32,1,139,DEANE C and VIJAYAKUMAR N and ALLEN NB and SCHWARTZ O and SIMMONS JG and BOUSMAN CA and PANTELIS C and WHITTLE S,10.1017/S0954579418001475,,CAMBRIDGE UNIV PRESS,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
52,EMOTION REGULATION ACROSS THE PSYCHOSIS CONTINUUM,2020,1,1,DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,32,1,219,CHAPMAN HC and VISSER KF and MITTAL VA and GIBB BE and COLES ME and STRAUSS GP,10.1017/S0954579418001682,,CAMBRIDGE UNIV PRESS,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
53,"MOTHERS' AND FATHERS' SELF-REGULATION CAPACITY, DYSFUNCTIONAL ATTRIBUTIONS AND HOSTILE PARENTING DURING EARLY ADOLESCENCE: A PROCESS-ORIENTED APPROACH",2020,1,1,DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,32,1,229,STURGE-APPLE ML and LI Z and MARTIN MJ and JONES-GORDILS HR and DAVIES PT,10.1017/S0954579418001694,,CAMBRIDGE UNIV PRESS,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
54,"DEVELOPMENT OF AGGRESSIVE-VICTIMS FROM CHILDHOOD THROUGH ADOLESCENCE: ASSOCIATIONS WITH EMOTION DYSREGULATION, WITHDRAWN BEHAVIORS, MORAL DISENGAGEMENT, PEER REJECTION, AND FRIENDSHIPS",2020,1,1,DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,32,1,271,ETTEKAL I and LADD GW,10.1017/S0954579419000063,,CAMBRIDGE UNIV PRESS,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
55,AGE-RELATED DIFFERENCES IN AFFECTIVE CONTROL AND ITS ASSOCIATION WITH MENTAL HEALTH DIFFICULTIES,2020,1,1,DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,32,1,329,SCHWEIZER S and PARKER J and LEUNG JT and GRIFFIN C and BLAKEMORE SJ,10.1017/S0954579419000099,,CAMBRIDGE UNIV PRESS,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
56,THE INTERGENERATIONAL CONTINUITY OF PARENTAL CONDITIONAL REGARD AND ITS ROLE IN MOTHERS' AND ADOLESCENTS' CONTINGENT SELF-ESTEEM AND DEPRESSIVE SYMPTOMS,2020,1,1,SOCIAL DEVELOPMENT,0961-205X,29,1,143,OTTERPOHL N and STEFFGEN ST and STIENSMEIER-PELSTER J and BRENNING K and SOENENS B,10.1111/SODE.12391,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
57,ATTACHMENT DISORDERS DIAGNOSED BY COMMUNITY PRACTITIONERS: A REPLICATION AND EXTENSION,2020,1,1,CHILD AND ADOLESCENT MENTAL HEALTH,1475-357X,25,1,4,ALLEN B and SCHUENGEL C,10.1111/CAMH.12338,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
58,CORRELATES OF EXTERNALISING AND INTERNALISING PROBLEMS IN CHILDREN WITH DYSLEXIA: AN ANALYSIS OF DATA FROM CLINICAL CASEFILES,2020,1,1,AUSTRALIAN PSYCHOLOGIST,0005-0067,55,1,62,BOYES ME and LEITAO S and CLAESSEN M and BADCOCK NA and NAYTON M,10.1111/AP.12409,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
